mnemonic,log_curve_type_id,log_curve_main_family_id,log_curve_family_id,unit_quantity_id,unit,comment
PEF,Equinor-PEF,PhotoelectricFactor,Photoelectric%20Factor,dimensionless,b/e,null
LFP_SP,Equinor-SP,SpontaneousPotential,Spontaneous%20Potential,electric%20potential%20difference,mV,null
LFP_SPMAX,Equinor-SPMAX,SpontaneousPotential,Spontaneous%20Potential,electric%20potential%20difference,mV,null
LFP_SPMIN,Equinor-SPMIN,SpontaneousPotential,Spontaneous%20Potential,electric%20potential%20difference,mV,null
SP,Equinor-SP,SpontaneousPotential,Spontaneous%20Potential,electric%20potential%20difference,mV,null
LFP_RSAND,Equinor-RSAND,Resistivity,Resistivity,electrical%20resistivity,ohm.m,null
LFP_RSH,Equinor-RSH,Resistivity,Resistivity,electrical%20resistivity,ohm.m,null
LFP_RD,Equinor-RD,Resistivity,Resistivity%20-%20Deep,electrical%20resistivity,ohm.m,null
LFP_RH,Equinor-RH,Resistivity,Resistivity%20-%20Horizontal%20Formation,electrical%20resistivity,ohm.m,null
LFP_RM,Equinor-RM,Resistivity,Resistivity%20-%20Medium,electrical%20resistivity,ohm.m,null
LFP_RXO,Equinor-RXO,Resistivity,Resistivity%20-%20Micro,electrical%20resistivity,ohm.m,null
LFP_RS,Equinor-RS,Resistivity,Resistivity%20-%20Shallow,electrical%20resistivity,ohm.m,null
LFP_RT,Equinor-RT,Resistivity,Resistivity%20-%20True%20Formation,electrical%20resistivity,ohm.m,null
LFP_RT_LOG,Equinor-RT_LOG,Resistivity,Resistivity%20-%20True%20Formation,electrical%20resistivity,ohm.m,null
LFP_RV,Equinor-RV,Resistivity,Resistivity%20-%20Vertical%20Formation,electrical%20resistivity,ohm.m,null
LFP_RW,Equinor-RW,FluidProperties,Water%20Resistivity,electrical%20resistivity,ohm.m,null
RD,Equinor-RD,Resistivity,Resistivity%20-%20Deep,electrical%20resistivity,ohm.m,null
RM,Equinor-RM,Resistivity,Resistivity%20-%20Medium,electrical%20resistivity,ohm.m,null
RXO,Equinor-RXO,Resistivity,Resistivity%20-%20Micro,electrical%20resistivity,ohm.m,null
RS,Equinor-RS,Resistivity,Resistivity%20-%20Shallow,electrical%20resistivity,ohm.m,null
